email,name ,org,pocname ,pocno
info@theallthingsshop.com,All Things Chocoates,All Things Chocoates,Arshpreet Singh,8872800827
info@apsaraicecreams.com,Apsara Ice-Creams,Apsara Ice-Creams,Arshpreet Singh,8872800827
hello@brewhousetea.com,Brew House Tea,Brew House Tea,Arshpreet Singh,8872800827
contact@hundopizza.com,Hundo Pizza,Hundo Pizza,Arshpreet Singh,8872800827
vinfo@xotik.co.in,Jeeru,Jeeru,Arshpreet Singh,8872800827
hello@lemonadeindia.com,Lemonade,Lemonade,Arshpreet Singh,8872800827
munch@snackible.com,Snackible,Snackible,Arshpreet Singh,8872800827
customercare@tropico.com,Topico,Topico,Arshpreet Singh,8872800827
help@wafflehouse.co.in,Waffle House,Waffle House,Arshpreet Singh,8872800827
hello@kudratiorganics.com,Kudrati Organics,Kudrati Organics,Arshpreet Singh,8872800827
